area type,availability,location,size,society,total sqft,bath,balcony,price
built up  area,ready to move,peenya,3 BHK,jahts h,1870,3.0,3.0,110.0
plot  area,ready to move,sarjapur,3 Bedroom,inensba,1600,3.0,1.0,75.0
super built up  area,ready to move,electronic city,2 BHK,itelaa,880,1.0,1.0,16.5
plot  area,ready to move,ramaswamy palya   kammanahalli main road,4 Bedroom,grrvagr,1200,4.0,0.0,210.0
super built up  area,ready to move,kudlu gate,3 BHK,srier p,1535,3.0,2.0,83.0
built up  area,ready to move,kanakpura road,2 BHK,wiowsri,950,2.0,1.0,57.0
super built up  area,18 aug,devanahalli,2 BHK,derdsig,1360,2.0,1.0,65.0
super built up  area,19 mar,8th phase jp nagar,2 BHK,vaarech,1042 - 1105,2.0,0.0,54.005
super built up  area,18 may,bommasandra industrial area,3 BHK,grrvagr,1280,3.0,1.0,50.4
super built up  area,19 jan,chandra layout,3 BHK,tiaksaa,1260,2.0,2.0,85.05
built up  area,ready to move,hennur road,8 Bedroom,grrvagr,5000,8.0,2.0,250.0
super built up  area,19 dec,yelahanka,5 BHK,ledorsa,3050,5.0,1.0,213.0
super built up  area,ready to move,kasavanhalli,3 BHK,hmwerco,1563.05,3.0,1.0,105.0
super built up  area,ready to move,isro layout,2 BHK,grrvagr,1000,2.0,1.0,60.0
super built up  area,17 jul,anandapura,2 BHK,viensrk,1167,2.0,1.0,43.76
super built up  area,ready to move,vishveshwarya layout,7 BHK,grrvagr,4000,7.0,2.0,225.0
super built up  area,ready to move,kothanur,3 BHK,somumys,1828,3.0,2.0,110.0
super built up  area,ready to move,kengeri satellite town,2 BHK,hoiewla,890,2.0,1.0,35.0
super built up  area,ready to move,basavanapura,3 BHK,dwity t,1612,3.0,3.0,46.74
plot  area,ready to move,dinnur,6 Bedroom,grrvagr,1034,5.0,2.0,185.0
super built up  area,19 apr,mysore road,3 BHK,brama p,1710,4.0,2.0,91.31
super built up  area,ready to move,kannamangala,2 BHK,vbownre,957,2.0,1.0,58.0
super built up  area,18 may,devarachikkanahalli,3 BHK,grrvagr,1250,2.0,3.0,44.0
super built up  area,ready to move,sanjeevini nagar,3 BHK,betatsi,2795,4.0,2.0,235.0
super built up  area,ready to move,hulimavu,2 BHK,prcan p,1125,2.0,2.0,50.0
super built up  area,18 jul,electronic city phase ii,2 BHK,sryalan,1020,2.0,1.0,30.6
super built up  area,ready to move,kalena agrahara,2 BHK,grrvagr,1200,2.0,2.0,50.0
super built up  area,ready to move,thanisandra,3 BHK,soitya,1735,3.0,3.0,135.0
super built up  area,ready to move,thanisandra,3 BHK,g conth,2050,3.0,1.0,145.0
plot  area,ready to move,mahalakshmi layout,4 Bedroom,grrvagr,3750,4.0,0.0,760.0
built up  area,ready to move,yarandahalli,3 BHK,grrvagr,1350,2.0,3.0,48.0
super built up  area,18 may,hosa road,2 BHK,sstusan,1063,2.0,1.0,32.0
super built up  area,ready to move,keshava nagar,3 BHK,etens g,1904,3.0,1.0,150.0
built up  area,ready to move,whitefield,4 Bedroom,grrvagr,4200,4.0,2.0,420.0
super built up  area,ready to move,rmv extension,3 BHK,hohnari,2000,3.0,1.0,175.0
super built up  area,18 dec,sarjapur,2 BHK,kinuerg,1145 - 1340,2.0,0.0,43.49
super built up  area,ready to move,tejaswini nagar,3 BHK,naods w,1425,2.0,2.0,75.0
super built up  area,ready to move,electronic city,3 BHK,gmown e,1500,2.0,1.0,64.5
built up  area,ready to move,electronic city,2 BHK,gmown e,1060,2.0,1.0,60.0
built up  area,ready to move,jai bheema nagar,3 BHK,sancyra,1470,2.0,2.0,70.0
super built up  area,ready to move,kothnur narayanapura,6 BHK,grrvagr,1300,6.0,0.0,99.0
super built up  area,ready to move,attibele,1 BHK,jae 1hu,450,1.0,1.0,11.0
super built up  area,18 apr,electronic city,2 BHK,prarkun,1152,2.0,1.0,64.5
super built up  area,ready to move,electronic city,3 BHK,gmown e,1350,2.0,1.0,56.0
super built up  area,ready to move,cv raman nagar,3 BHK,srshq t,1550,3.0,3.0,65.0
plot  area,ready to move,chikkatirupathi,3 Bedroom,grrvagr,1500,3.0,2.0,100.0
plot  area,ready to move,kumaraswami layout,5 Bedroom,grrvagr,600,3.0,2.0,85.0
plot  area,ready to move,nagavara,1 Bedroom,grrvagr,400,1.0,0.0,14.0
super built up  area,ready to move,malleshwaram,1 BHK,utntspa,705,1.0,2.0,67.0
built up  area,ready to move,electronic city,2 BHK,gmown e,770,1.0,1.0,36.0
super built up  area,ready to move,hulimavu,2 BHK,aniona,1242,2.0,3.0,51.0
super built up  area,ready to move,hebbal kempapura,3 BHK,goateds,1700,3.0,2.0,155.0
super built up  area,ready to move,thanisandra,3 BHK,soitya,2144,3.0,2.0,145.0
super built up  area,21 jun,vijayanagar,3 BHK,saahaat,1704,3.0,2.0,110.0
super built up  area,ready to move,electronic city,2 BHK,gmown e,1070,2.0,1.0,52.0
plot  area,ready to move,8th block koramangala,3 Bedroom,grrvagr,1846,3.0,2.0,300.0
super built up  area,ready to move,jakkuru layout,2 BHK,grrvagr,1340,2.0,2.0,55.7
built up  area,ready to move,electronic city,2 BHK,gmown e,1025,2.0,1.0,46.0
super built up  area,ready to move,kr puram,2 BHK,mcvarar,1015 - 1540,2.0,0.0,56.8
super built up  area,ready to move,marathahalli,2 BHK,vrave e,1200,2.0,2.0,52.0
built up  area,18 dec,kanakpura road,4 Bedroom,grrvagr,2250,4.0,1.0,110.0
super built up  area,ready to move,pattandur agrahara,3 BHK,maidopl,1550,2.0,3.0,80.0
plot  area,ready to move,bellandur,4 Bedroom,grrvagr,1200,5.0,2.0,325.0
plot  area,ready to move,ejipura,7 Bedroom,grrvagr,1800,7.0,1.0,250.0
super built up  area,ready to move,marathahalli,2 BHK,aiitya,1200,2.0,2.0,60.0
super built up  area,ready to move,yelahanka,2 BHK,puziave,1327,2.0,2.0,98.0
super built up  area,ready to move,kothanur,2 BHK,grrvagr,1186,2.0,2.0,58.0
built up  area,ready to move,ms pallya,3 Bedroom,grrvagr,1783,3.0,1.0,115.0
super built up  area,ready to move,hsr layout,3 BHK,nrosete,1400,3.0,2.0,56.0
super built up  area,ready to move,nagasandra,2 BHK,grrvagr,980,2.0,1.0,48.0
super built up  area,ready to move,epip zone,2 BHK,grrvagr,1285,2.0,2.0,82.0
super built up  area,ready to move,langford town,3 BHK,grrvagr,912,2.0,1.0,70.0
built up  area,ready to move,whitefield,2 BHK,sancya,1225,2.0,2.0,47.6
super built up  area,ready to move,whitefield,2 BHK,grrvagr,1075,2.0,1.0,53.0
built up  area,ready to move,kadugodi,3 BHK,msingco,1260,2.0,2.0,54.0
super built up  area,ready to move,yelahanka,3 BHK,pyikad,1282,2.0,2.0,48.7
super built up  area,ready to move,kogilu,3 BHK,cairscr,1909,3.0,2.0,88.0
super built up  area,ready to move,panathur,2 BHK,prcesvy,1359,2.0,1.0,87.0
built up  area,ready to move,nagondanahalli,2 BHK,grrvagr,1207,2.0,2.0,43.5
plot  area,ready to move,padmanabhanagar,4 Bedroom,grrvagr,1736,6.0,0.0,190.0
super built up  area,20 may,1st block jayanagar,4 BHK,grrvagr,2850,4.0,1.0,428.0
super built up  area,ready to move,kammasandra,3 BHK,emstael,1595,3.0,2.0,65.0
built up  area,18 jun,"off sarjapur road,",3 BHK,grrvagr,1798,3.0,2.0,89.0
super built up  area,ready to move,electronics city phase 1,3 BHK,sndri n,1475,3.0,2.0,78.29
super built up  area,ready to move,tala cauvery layout,3 BHK,hodhisa,1580,3.0,3.0,100.0
super built up  area,ready to move,dasarahalli,2 BHK,syonyph,1295,2.0,1.0,65.0
built up  area,ready to move,magadi road,6 Bedroom,grrvagr,3600,6.0,0.0,141.0
super built up  area,ready to move,electronic city,1 BHK,itvir m,589,1.0,1.0,27.0
super built up  area,ready to move,ngef layout,3 BHK,grrvagr,1415,3.0,3.0,78.0
super built up  area,18 dec,sarjapur  road,3 BHK,klark l,1787,3.0,2.0,98.29
super built up  area,ready to move,sarjapur  road,3 BHK,klark l,1787,3.0,2.0,125.0
super built up  area,ready to move,koramangala,3 BHK,piityra,1475,2.0,3.0,90.0
built up  area,ready to move,"lakshminarayanapura, electronic city phase 2",4 BHK,grrvagr,2000,4.0,1.0,75.5
super built up  area,19 mar,sarjapur  road,2 BHK,asastde,984,2.0,1.0,44.28
super built up  area,19 dec,devanahalli,3 BHK,jurdsig,1520 - 1740,2.0,2.0,74.82
super built up  area,ready to move,muthurayya swamy layout,3 BHK,maclek,2405,4.0,2.0,260.0
built up  area,ready to move,7th phase jp nagar,2 BHK,brnia g,1080,2.0,2.0,72.0
plot  area,ready to move,shantiniketan layout,2 Bedroom,grrvagr,1500,2.0,1.0,115.0
super built up  area,ready to move,hebbal,3 BHK,grrvagr,1900,3.0,2.0,119.0
super built up  area,19 aug,dommasandra,2 BHK,grrvagr,805,2.0,1.0,22.14
super built up  area,ready to move,budigere,2 BHK,pritytr,1153,2.0,2.0,56.4
super built up  area,ready to move,dodda nekkundi extension,2 BHK,alecone,1148,2.0,2.0,60.0
super built up  area,ready to move,mylasandra,2 BHK,laowsba,1110,2.0,2.0,55.0
built up  area,ready to move,electronic city,2 BHK,saave r,1100,2.0,2.0,42.0
super built up  area,ready to move,kalyan nagar,2 BHK,anave s,1290,2.0,2.0,110.0
super built up  area,ready to move,dr shivarama karantha nagar,3 BHK,grrvagr,1500,2.0,1.0,65.0
super built up  area,18 apr,bank of baroda colony,2 BHK,grrvagr,1080,2.0,2.0,39.0
super built up  area,21 jun,vijayanagar,3 BHK,saityat,1933,3.0,1.0,129.0
built up  area,ready to move,ramamurthy nagar,5 Bedroom,grrvagr,3500,5.0,2.0,150.0
built up  area,ready to move,kullappa colony,2 BHK,grrvagr,1060,2.0,2.0,60.0
super built up  area,18 aug,chandapura,1 BHK,suncees,645,1.0,1.0,16.45
plot  area,ready to move,mukkutam nagar,8 Bedroom,grrvagr,2600,8.0,2.0,180.0
super built up  area,18 sep,chandapura,1 BHK,suncees,645,1.0,1.0,16.45
super built up  area,ready to move,ashwath nagar,3 BHK,sjcerpe,1644,3.0,3.0,84.0
super built up  area,ready to move,ncpr industrial layout,2 BHK,supams,1285,2.0,3.0,72.5
plot  area,ready to move,electronic city,3 Bedroom,grrvagr,1200,3.0,1.0,90.0
super built up  area,ready to move,electronic city,2 BHK,coapeso,910,2.0,1.0,40.0
super built up  area,ready to move,kothanur,3 BHK,bisic c,1577,3.0,1.0,70.0
plot  area,17 may,meenakunte,3 Bedroom,sreat r,4050,3.0,2.0,280.0
super built up  area,ready to move,ombr layout,3 BHK,inntsa,2420,3.0,2.0,185.0
super built up  area,ready to move,chandapura,2 BHK,khityry,800,1.0,1.0,20.0
built up  area,ready to move,anand nagar,2 BHK,grrvagr,1060,2.0,2.0,55.0
super built up  area,ready to move,7th phase jp nagar,2 BHK,briummi,1270,2.0,2.0,93.0
super built up  area,18 jun,shree ananth nagar layout,2 BHK,grrvagr,900,2.0,2.0,22.5
built up  area,ready to move,kundalahalli colony,2 Bedroom,grrvagr,1280,2.0,1.0,69.0
plot  area,ready to move,horamavu agara,4 Bedroom,grrvagr,1200,2.0,0.0,95.0
built up  area,ready to move,sarjapur  road,2 BHK,grrvagr,1025,2.0,2.0,36.0
super built up  area,17 jun,electronic city,2 BHK,prarkun,1108,2.0,1.0,63.0
plot  area,ready to move,mcechs  layout,5 Bedroom,grrvagr,1200,5.0,2.0,170.0
super built up  area,ready to move,coffee board layout,3 BHK,calyxy,3045,3.0,2.0,170.0
plot  area,ready to move,ambedkar nagar,4 Bedroom,thessrm,2900,3.0,2.0,300.0
super built up  area,ready to move,vijayanagar,3 BHK,jjortom,1500,3.0,2.0,75.5
super built up  area,ready to move,raja rajeshwari nagar,2 BHK,grrvagr,1295,2.0,2.0,43.9
super built up  area,ready to move,budigere,2 BHK,pritytr,1162,2.0,1.0,59.9
super built up  area,ready to move,sarjapur  road,2 BHK,usquaya,1035,2.0,2.0,49.2
built up  area,ready to move,attibele,4 Bedroom,natic t,1600,4.0,0.0,52.8
super built up  area,ready to move,kudlu main road,3 BHK,grrvagr,1464,3.0,2.0,46.0
super built up  area,18 oct,hennur road,3 BHK,dsapesk,1866,2.0,2.0,61.58
super built up  area,ready to move,geleyara balaga layout,2 BHK,jahtsa,700,1.0,1.0,26.0
super built up  area,ready to move,kalena agrahara,3 BHK,prillot,1804,3.0,2.0,120.0
super built up  area,ready to move,sarjapur,2 BHK,grrvagr,913,2.0,1.0,32.0
super built up  area,21 dec,talaghattapura,3 BHK,sodgere,1868,3.0,2.0,131.0
built up  area,ready to move,kengeri satellite town,2 BHK,grrvagr,883,2.0,1.0,45.0
plot  area,ready to move,sundara nagar,2 Bedroom,grrvagr,900,2.0,1.0,110.0
super built up  area,ready to move,kogilu,3 BHK,grrvagr,1664,2.0,3.0,73.95
super built up  area,ready to move,hegde nagar,3 BHK,soitaca,2026,3.0,2.0,132.0
super built up  area,ready to move,balagere,2 BHK,soestin,1210,2.0,1.0,80.9
plot  area,ready to move,meenakunte,4 Bedroom,sreat r,4111,4.0,2.0,250.0
super built up  area,ready to move,kadugodi,3 BHK,alestrb,1762,3.0,3.0,91.45
super built up  area,ready to move,jigani,3 BHK,dlhtsen,1252,3.0,3.0,55.0
built up  area,ready to move,gollarapalya hosahalli,2 BHK,mauner,861,2.0,1.0,34.5
built up  area,ready to move,7th phase jp nagar,3 BHK,brnia g,1420,2.0,1.0,100.0
plot  area,ready to move,srirampura,6 Bedroom,grrvagr,1450,6.0,0.0,250.0
built up  area,ready to move,electronics city phase 1,3 BHK,gaicave,1490,3.0,1.0,78.8
super built up  area,ready to move,bisuvanahalli,3 BHK,grrvagr,1075,2.0,1.0,46.0
super built up  area,18 aug,old madras road,3 BHK,saesttt,1425,2.0,2.0,94.0
built up  area,ready to move,kalena agrahara,2 BHK,nae 2el,1200,2.0,1.0,40.0
super built up  area,ready to move,kaggadasapura,3 BHK,grrvagr,1280,2.0,2.0,56.0
super built up  area,ready to move,silver springs layout,2 BHK,bhinglv,1084,2.0,2.0,50.0
super built up  area,18 jul,chandapura,2 BHK,suncees,1015,2.0,2.0,25.88
super built up  area,21 may,kanakpura road,2 BHK,golusli,1017,2.0,1.0,51.25
super built up  area,ready to move,haralur road,2 BHK,grrvagr,1027,2.0,2.0,44.0
super built up  area,ready to move,electronic city phase ii,2 BHK,coush w,1069,2.0,2.0,45.0
super built up  area,ready to move,hebbal,2 BHK,prersis,1349,2.0,1.0,98.2
super built up  area,ready to move,9th phase jp nagar,2 BHK,naensga,1005,2.0,1.0,50.0
super built up  area,ready to move,jakkur,2 BHK,arzzo p,1417,2.0,3.0,75.0
plot  area,18 jan,tc palaya,3 Bedroom,grrvagr,1475,3.0,1.0,98.0
carpet  area,ready to move,maruthi sevanagar,2 BHK,smikaay,950,2.0,2.0,47.0
super built up  area,ready to move,rmv 2nd stage,4 BHK,prave e,2000,4.0,0.0,120.0
plot  area,ready to move,giri nagar,3 Bedroom,grrvagr,880,3.0,1.0,140.0
super built up  area,ready to move,sarjapur  road,4 BHK,ahriaup,1863,3.0,2.0,104.0
super built up  area,ready to move,singasandra,2 BHK,priewhi,1010,2.0,1.0,29.5
super built up  area,ready to move,kalena agrahara,3 BHK,shodsth,1425,2.0,1.0,70.0
super built up  area,ready to move,vijayanagar,3 BHK,swadeh,1450,3.0,0.0,100.0
super built up  area,ready to move,kothanur,3 BHK,somumys,1847,3.0,2.0,105.0
super built up  area,ready to move,aecs layout,2 BHK,soran u,1100,2.0,3.0,45.0
super built up  area,20 dec,kanakpura road,1 BHK,prarepa,525,1.0,1.0,26.0
super built up  area,ready to move,mallasandra,3 BHK,puestig,1665,3.0,2.0,95.0
super built up  area,ready to move,begur,4 BHK,prntsrt,1664,4.0,3.0,65.0
super built up  area,ready to move,jp nagar,3 BHK,maerar,1850,3.0,3.0,150.0
super built up  area,ready to move,panathur,2 BHK,vaesh t,1438,2.0,3.0,100.0
super built up  area,ready to move,sunder ram shetty nagar,3 BHK,maisepa,1560,3.0,3.0,115.0
super built up  area,18 apr,yelahanka,2 BHK,grrvagr,1350,2.0,1.0,55.55
super built up  area,ready to move,kanakpura road,3 BHK,jrrnauv,1550,3.0,3.0,67.0
super built up  area,18 apr,malleshpalya,2 BHK,grrvagr,1140,2.0,2.0,46.5
